year,month,day,origin,dest,carrier
2013,4,22,JFK,SEA,DL
2013,4,27,EWR,PHX,UA
2013,4,4,JFK,DCA,MQ
2013,4,10,JFK,SLC,DL
2013,4,21,LGA,ATL,DL
2013,4,6,LGA,IAH,UA
2013,4,26,JFK,LAX,DL
2013,4,12,LGA,ATL,DL
2013,4,4,JFK,DTW,9E
2013,4,26,EWR,LAX,AA
2013,4,13,EWR,TPA,UA
2013,4,22,EWR,HNL,UA
2013,4,4,JFK,CLT,US
2013,4,17,LGA,BNA,MQ
2013,4,2,JFK,MIA,DL
2013,4,28,LGA,MKE,WN
2013,4,15,EWR,CLT,US
2013,4,14,LGA,SRQ,DL
2013,4,13,LGA,CLT,US
2013,4,11,LGA,BOS,US
2013,4,9,JFK,SJU,B6
2013,4,1,JFK,ROC,B6
2013,4,6,LGA,IAH,UA
2013,4,21,EWR,DFW,AA
2013,4,24,EWR,RSW,UA
2013,4,25,JFK,PHX,DL
2013,4,3,LGA,DEN,UA
2013,4,18,EWR,MCO,UA
2013,4,28,JFK,RDU,B6
2013,4,11,JFK,ROC,B6
2013,4,9,LGA,MCI,EV
2013,4,19,JFK,DEN,B6
2013,4,1,EWR,FLL,B6
2013,4,9,LGA,DFW,AA
2013,4,11,LGA,BOS,US
2013,4,27,EWR,IAH,UA
2013,4,10,EWR,MCO,UA
2013,4,9,JFK,PHX,DL
2013,4,27,EWR,RSW,B6
2013,4,20,JFK,MIA,DL
2013,4,4,JFK,LAX,AA
2013,4,12,LGA,BNA,MQ
2013,4,10,LGA,STL,WN
2013,4,28,EWR,CVG,EV
2013,4,2,EWR,PWM,EV
2013,4,22,EWR,LAX,UA
2013,4,18,LGA,BNA,MQ
2013,4,16,EWR,ORD,MQ
2013,4,16,EWR,FLL,UA
2013,4,17,JFK,ATL,DL
2013,4,19,JFK,ATL,DL
2013,4,14,JFK,BUF,B6
2013,4,22,JFK,CLT,US
2013,4,14,JFK,SMF,B6
2013,4,7,EWR,IND,EV
2013,4,26,JFK,CLT,9E
2013,4,4,LGA,ATL,DL
2013,4,16,JFK,DCA,9E
2013,4,20,LGA,MIA,DL
2013,4,3,EWR,ATL,DL
2013,4,3,LGA,XNA,MQ
2013,4,19,JFK,SLC,DL
2013,4,25,EWR,MCO,UA
2013,4,27,LGA,FLL,DL
2013,4,17,LGA,CMH,MQ
2013,4,10,JFK,BUF,B6
2013,4,7,JFK,CLT,B6
2013,4,7,EWR,BOS,B6
2013,4,19,JFK,HNL,HA
2013,4,11,JFK,DCA,9E
2013,4,12,JFK,DCA,MQ
2013,4,26,JFK,LAS,B6
2013,4,30,EWR,CLT,US
2013,4,10,JFK,CHS,9E
2013,4,19,EWR,DEN,UA
2013,4,4,LGA,MCO,B6
2013,4,16,LGA,MIA,DL
2013,4,11,LGA,RIC,EV
2013,4,29,EWR,ATL,EV
2013,4,13,JFK,CVG,9E
2013,4,21,JFK,RDU,MQ
2013,4,15,LGA,MSP,DL
2013,4,7,EWR,MSP,EV
2013,4,10,JFK,BUF,B6
2013,4,14,LGA,BNA,MQ
2013,4,16,EWR,BTV,EV
2013,4,21,EWR,SFO,UA
2013,4,28,LGA,TPA,B6
2013,4,23,EWR,ORD,UA
2013,4,18,LGA,DFW,AA
2013,4,22,EWR,CLT,US
2013,4,22,LGA,ORD,UA
2013,4,6,EWR,FLL,B6
2013,4,25,LGA,DCA,US
2013,4,23,LGA,MIA,AA
2013,4,29,LGA,DEN,UA
2013,4,21,EWR,BOS,UA
2013,4,15,EWR,ORD,UA
2013,4,29,JFK,ORD,9E
2013,4,12,JFK,SLC,DL
2013,4,15,EWR,CVG,EV
2013,4,4,JFK,ORD,AA
2013,4,17,LGA,ORD,UA
2013,4,28,LGA,PIT,EV
2013,4,16,EWR,MDW,WN
2013,4,14,JFK,TPA,B6
2013,4,23,JFK,IAD,EV
2013,4,13,LGA,DEN,WN
2013,4,5,LGA,DCA,US
2013,4,20,LGA,ATL,DL
2013,4,6,JFK,PBI,B6
2013,4,7,LGA,MKE,WN
2013,4,8,LGA,DTW,DL
2013,4,12,JFK,PWM,B6
2013,4,27,EWR,MSP,EV
2013,4,12,LGA,ORD,UA
2013,4,24,EWR,RDU,EV
2013,4,28,LGA,MDW,WN
2013,4,1,EWR,SDF,EV
2013,4,17,EWR,SFO,UA
2013,4,15,EWR,GRR,EV
2013,4,4,LGA,STL,AA
2013,4,11,LGA,TPA,B6
2013,4,13,EWR,DTW,EV
2013,4,7,JFK,SJU,DL
2013,4,19,EWR,FLL,UA
2013,4,6,JFK,DCA,MQ
2013,4,26,JFK,SAT,DL
2013,4,6,JFK,LAX,UA
2013,4,11,LGA,DTW,DL
2013,4,25,EWR,BUF,EV
2013,4,12,EWR,FLL,UA
2013,4,15,EWR,BQN,UA
2013,4,14,JFK,LAX,B6
2013,4,1,EWR,DCA,EV
2013,4,7,JFK,SJC,B6
2013,4,3,JFK,CMH,MQ
2013,4,4,EWR,LAX,UA
2013,4,4,LGA,DEN,WN
2013,4,24,EWR,FLL,UA
2013,4,4,LGA,CAK,FL
2013,4,26,LGA,STL,AA
2013,4,19,EWR,PHX,US
2013,4,1,EWR,CLT,EV
2013,4,2,EWR,SDF,EV
2013,4,3,EWR,LAS,UA
2013,4,12,JFK,IAD,EV
2013,4,30,JFK,ORD,9E
2013,4,3,JFK,SFO,DL
2013,4,1,JFK,LAS,B6
2013,4,13,JFK,CLT,B6
2013,4,13,EWR,PHX,WN
2013,4,3,LGA,ATL,FL
2013,4,4,JFK,AUS,DL
2013,4,15,LGA,ATL,FL
2013,4,20,JFK,DTW,DL
2013,4,28,JFK,DCA,MQ
2013,4,14,LGA,PWM,DL
2013,4,17,LGA,RDU,MQ
2013,4,15,EWR,MCO,UA
2013,4,21,JFK,PBI,B6
2013,4,28,EWR,FLL,UA
2013,4,29,JFK,DCA,MQ
2013,4,8,JFK,LAX,DL
2013,4,16,JFK,CLE,MQ
2013,4,30,JFK,MCO,DL
2013,4,14,EWR,GSO,EV
2013,4,9,EWR,CMH,EV
2013,4,19,EWR,SFO,UA
2013,4,6,EWR,MCO,UA
2013,4,10,JFK,TPA,B6
2013,4,13,EWR,PBI,UA
2013,4,23,LGA,RDU,MQ
2013,4,20,LGA,DTW,DL
2013,4,26,EWR,ATL,EV
2013,4,27,EWR,MCO,UA
2013,4,25,EWR,BNA,WN
2013,4,24,EWR,HOU,WN
2013,4,10,JFK,BOS,B6
2013,4,11,JFK,DCA,MQ
2013,4,24,LGA,MIA,AA
2013,4,2,EWR,ORD,UA
2013,4,9,EWR,LAS,UA
2013,4,26,EWR,MDW,WN
2013,4,27,EWR,BNA,WN
2013,4,11,JFK,SAN,DL
2013,4,12,EWR,ATL,DL
2013,4,5,EWR,MCO,UA
2013,4,28,JFK,LAX,DL
2013,4,24,LGA,BOS,US
2013,4,13,JFK,BOS,AA
2013,4,3,JFK,CLT,US
2013,4,15,EWR,BOS,UA
2013,4,28,EWR,CLT,US
2013,4,17,JFK,SEA,AA
2013,4,17,JFK,DTW,9E
2013,4,12,LGA,TPA,B6
2013,4,18,JFK,LAX,AA
2013,4,28,JFK,IAD,EV
2013,4,10,EWR,SFO,UA
