year,month,day,origin,dest,carrier
2013,8,27,JFK,MSY,9E
2013,8,27,JFK,SEA,DL
2013,8,9,JFK,PWM,B6
2013,8,30,EWR,CLT,EV
2013,8,8,EWR,GSO,EV
2013,8,24,JFK,ACK,B6
2013,8,29,EWR,BNA,EV
2013,8,15,LGA,STL,AA
2013,8,26,EWR,DFW,AA
2013,8,10,JFK,ROC,B6
2013,8,26,EWR,SFO,UA
2013,8,23,EWR,MEM,EV
2013,8,8,JFK,SMF,B6
2013,8,20,LGA,BNA,MQ
2013,8,18,LGA,DCA,US
2013,8,12,EWR,ORD,UA
2013,8,4,LGA,RDU,MQ
2013,8,13,LGA,BTV,EV
2013,8,14,LGA,DEN,UA
2013,8,17,EWR,CLT,US
2013,8,27,LGA,ATL,DL
2013,8,16,LGA,STL,AA
2013,8,12,LGA,PBI,B6
2013,8,31,EWR,PHX,UA
2013,8,2,LGA,ORD,AA
2013,8,8,LGA,ORD,UA
2013,8,31,EWR,ORD,MQ
2013,8,23,LGA,PBI,B6
2013,8,14,JFK,ORF,MQ
2013,8,21,LGA,DEN,WN
2013,8,8,EWR,MDW,WN
2013,8,28,EWR,MSP,DL
2013,8,21,LGA,IAH,UA
2013,8,22,EWR,LAX,UA
2013,8,22,LGA,XNA,MQ
2013,8,20,EWR,RDU,EV
2013,8,7,JFK,MIA,DL
2013,8,11,JFK,BOS,DL
2013,8,31,JFK,CHS,B6
2013,8,11,EWR,PHX,US
2013,8,25,JFK,SJC,B6
2013,8,2,JFK,MCO,DL
2013,8,22,EWR,PHX,US
2013,8,22,LGA,FLL,DL
2013,8,3,LGA,ATL,FL
2013,8,14,EWR,AVL,EV
2013,8,16,EWR,RIC,EV
2013,8,14,LGA,BOS,US
2013,8,28,EWR,STL,EV
2013,8,25,EWR,CLT,US
2013,8,21,JFK,ACK,B6
2013,8,4,LGA,DEN,UA
2013,8,30,LGA,CLE,MQ
2013,8,12,LGA,CLT,MQ
2013,8,30,EWR,ORD,UA
2013,8,21,JFK,FLL,B6
2013,8,5,JFK,HNL,HA
2013,8,23,JFK,MSY,9E
2013,8,29,JFK,SFO,B6
2013,8,2,JFK,CVG,9E
2013,8,5,JFK,SFO,VX
2013,8,2,JFK,OAK,B6
2013,8,13,LGA,DTW,DL
2013,8,25,LGA,ORD,AA
2013,8,23,EWR,RDU,EV
2013,8,13,LGA,ATL,DL
2013,8,13,EWR,ORF,EV
2013,8,17,EWR,ROC,EV
2013,8,7,LGA,DCA,US
2013,8,25,LGA,ORF,9E
2013,8,7,LGA,FLL,DL
2013,8,28,JFK,BOS,AA
2013,8,19,LGA,CLT,US
2013,8,21,JFK,TPA,B6
2013,8,16,LGA,MDW,WN
2013,8,27,JFK,SFO,UA
2013,8,26,EWR,DEN,UA
2013,8,16,EWR,BOS,B6
2013,8,11,JFK,FLL,B6
2013,8,8,LGA,RDU,MQ
2013,8,14,EWR,DCA,EV
2013,8,15,LGA,DEN,WN
2013,8,13,JFK,SFO,AA
2013,8,23,JFK,JAX,B6
2013,8,7,LGA,DCA,US
2013,8,14,JFK,ATL,DL
2013,8,9,EWR,MKE,EV
2013,8,27,JFK,SFO,VX
2013,8,18,JFK,SJU,AA
2013,8,21,EWR,GSO,EV
2013,8,26,EWR,SFO,VX
2013,8,20,EWR,PHX,UA
2013,8,1,LGA,RDU,MQ
2013,8,31,LGA,DEN,DL
2013,8,20,EWR,MEM,EV
2013,8,3,JFK,JAX,B6
2013,8,31,JFK,ATL,DL
2013,8,18,EWR,STL,WN
2013,8,2,JFK,CLT,US
2013,8,12,LGA,BOS,US
2013,8,21,LGA,IAH,UA
2013,8,23,EWR,BOS,B6
