year,month,day,origin,dest,carrier
2013,12,14,JFK,BOS,B6
2013,12,30,JFK,LAX,B6
2013,12,8,JFK,BOS,9E
2013,12,17,EWR,DTW,DL
2013,12,12,LGA,RDU,MQ
2013,12,10,JFK,BOS,B6
2013,12,23,JFK,SAN,AA
2013,12,4,JFK,LAX,AA
2013,12,3,LGA,CLT,MQ
2013,12,22,LGA,CLT,9E
2013,12,8,LGA,ATL,DL
2013,12,27,LGA,CHS,EV
2013,12,6,LGA,TPA,DL
2013,12,5,JFK,LAX,VX
2013,12,24,LGA,TPA,B6
2013,12,17,LGA,BGR,EV
2013,12,13,LGA,MSN,EV
2013,12,25,JFK,BUF,B6
2013,12,6,EWR,ORD,UA
2013,12,1,LGA,DTW,DL
2013,12,25,EWR,MIA,UA
2013,12,27,JFK,SFO,DL
2013,12,24,EWR,LAX,UA
2013,12,4,LGA,ATL,DL
2013,12,2,JFK,DCA,9E
2013,12,26,LGA,MSP,DL
2013,12,23,LGA,ORD,UA
2013,12,12,LGA,FLL,B6
2013,12,29,EWR,ALB,EV
2013,12,5,JFK,ORD,B6
2013,12,23,EWR,OMA,EV
2013,12,6,EWR,CLE,UA
2013,12,10,EWR,LAX,UA
2013,12,25,JFK,TPA,B6
2013,12,31,JFK,FLL,B6
2013,12,2,EWR,BNA,EV
2013,12,8,LGA,FLL,B6
2013,12,18,JFK,BUF,B6
2013,12,7,EWR,STL,WN
2013,12,27,LGA,CLT,MQ
2013,12,1,EWR,ORD,UA
2013,12,6,JFK,CLE,MQ
2013,12,22,EWR,PWM,EV
2013,12,19,LGA,CLT,EV
2013,12,8,JFK,SFO,UA
2013,12,11,LGA,BOS,US
2013,12,24,LGA,DEN,UA
2013,12,29,JFK,LAX,VX
2013,12,30,LGA,DTW,DL
2013,12,27,EWR,SJU,UA
2013,12,10,JFK,IAD,B6
2013,12,25,JFK,PDX,B6
2013,12,8,LGA,MDW,WN
2013,12,17,JFK,FLL,B6
2013,12,16,EWR,MSP,EV
2013,12,19,LGA,DFW,AA
2013,12,4,LGA,CLT,EV
2013,12,2,EWR,FLL,UA
2013,12,4,EWR,MCO,UA
2013,12,14,EWR,RIC,EV
2013,12,12,LGA,ATL,DL
2013,12,7,JFK,ROC,B6
2013,12,9,EWR,BTV,EV
2013,12,12,EWR,CVG,EV
2013,12,17,EWR,SEA,AS
2013,12,23,EWR,ATL,DL
2013,12,27,EWR,IAH,UA
2013,12,29,EWR,ORD,UA
2013,12,31,LGA,MCO,B6
2013,12,25,JFK,BOS,B6
2013,12,21,EWR,AUS,WN
2013,12,23,EWR,LAX,VX
2013,12,17,JFK,LAX,AA
2013,12,30,LGA,HOU,WN
2013,12,11,JFK,FLL,B6
2013,12,14,EWR,MDW,WN
2013,12,24,EWR,FLL,B6
2013,12,4,EWR,SAN,UA
2013,12,3,EWR,LAX,VX
2013,12,29,LGA,IAH,UA
2013,12,11,EWR,HOU,WN
2013,12,19,JFK,BOS,B6
2013,12,26,JFK,MCO,B6
2013,12,6,JFK,SFO,AA
2013,12,10,EWR,RSW,UA
2013,12,25,EWR,ORD,UA
2013,12,28,EWR,FLL,B6
2013,12,1,EWR,CHS,EV
2013,12,4,LGA,ORD,UA
2013,12,1,LGA,MSY,DL
2013,12,26,EWR,ATL,DL
2013,12,8,LGA,MSY,DL
2013,12,3,JFK,RDU,MQ
2013,12,12,EWR,SDF,EV
2013,12,29,LGA,CLT,MQ
2013,12,14,JFK,BQN,B6
2013,12,19,EWR,ROC,EV
2013,12,18,EWR,ORD,MQ
2013,12,13,EWR,ALB,EV
2013,12,16,JFK,SMF,B6
2013,12,14,JFK,MCO,B6
2013,12,29,JFK,PWM,B6
2013,12,1,JFK,FLL,B6
2013,12,27,JFK,SJU,B6
2013,12,9,LGA,ORD,AA
2013,12,2,EWR,MIA,AA
2013,12,21,JFK,FLL,DL
