year,month,day,origin,dest,carrier
2013,2,25,JFK,TPA,DL
2013,2,17,JFK,DCA,MQ
2013,2,3,JFK,DFW,AA
2013,2,19,LGA,ORD,UA
2013,2,12,LGA,STL,AA
2013,2,20,EWR,PHX,WN
2013,2,12,JFK,ATL,DL
2013,2,10,LGA,BNA,MQ
2013,2,26,EWR,DAY,EV
2013,2,1,JFK,LAS,B6
2013,2,17,EWR,SAT,UA
2013,2,6,EWR,PBI,B6
2013,2,15,EWR,BNA,EV
2013,2,1,LGA,DCA,US
2013,2,16,EWR,RDU,EV
2013,2,26,JFK,BUF,9E
2013,2,13,EWR,SNA,UA
2013,2,4,LGA,IAH,UA
2013,2,20,LGA,ATL,DL
2013,2,8,JFK,RDU,9E
2013,2,26,JFK,RDU,B6
2013,2,4,EWR,ATL,EV
2013,2,25,LGA,ORD,UA
2013,2,16,JFK,LAS,VX
2013,2,5,JFK,MCO,B6
2013,2,17,JFK,ROC,B6
2013,2,27,JFK,BUF,9E
2013,2,27,JFK,IAD,B6
2013,2,27,LGA,ATL,FL
2013,2,24,JFK,SJU,AA
2013,2,26,LGA,ORD,UA
2013,2,17,LGA,FLL,B6
2013,2,4,EWR,BWI,EV
2013,2,12,EWR,ORD,UA
2013,2,22,JFK,IAD,EV
2013,2,28,EWR,DEN,WN
2013,2,7,LGA,ORD,AA
2013,2,14,EWR,SJU,UA
2013,2,19,LGA,CMH,MQ
2013,2,17,EWR,LAS,UA
2013,2,20,EWR,MCO,UA
2013,2,3,JFK,DCA,9E
2013,2,28,JFK,MSY,B6
2013,2,22,LGA,ORD,AA
2013,2,24,EWR,BOS,B6
2013,2,14,JFK,MCO,B6
2013,2,13,EWR,SAV,EV
2013,2,18,LGA,FLL,DL
2013,2,4,EWR,PWM,EV
2013,2,25,JFK,SLC,DL
2013,2,1,LGA,MIA,AA
2013,2,26,LGA,MIA,DL
2013,2,6,JFK,PHX,US
2013,2,15,LGA,PIT,EV
2013,2,23,JFK,SJU,B6
2013,2,11,EWR,DEN,UA
2013,2,4,LGA,MSP,DL
2013,2,3,LGA,IAD,EV
2013,2,1,LGA,CLT,MQ
2013,2,7,JFK,DFW,AA
2013,2,9,JFK,LAX,AA
2013,2,4,EWR,MKE,EV
2013,2,14,LGA,DTW,DL
2013,2,8,JFK,SFO,UA
2013,2,21,EWR,PWM,EV
2013,2,8,JFK,SFO,UA
2013,2,26,JFK,SFO,VX
2013,2,28,JFK,LAX,AA
2013,2,12,JFK,SLC,DL
2013,2,17,JFK,PHX,US
2013,2,15,EWR,MSP,EV
2013,2,19,JFK,LAX,DL
2013,2,23,JFK,LAX,UA
2013,2,21,EWR,DFW,AA
2013,2,11,EWR,FLL,UA
2013,2,13,EWR,FLL,B6
2013,2,25,EWR,PVD,EV
2013,2,26,JFK,FLL,AA
2013,2,13,EWR,LAX,UA
2013,2,25,LGA,CLT,MQ
2013,2,4,EWR,MIA,AA
2013,2,22,EWR,CLT,US
2013,2,14,JFK,BWI,9E
2013,2,5,EWR,DAY,EV
2013,2,18,EWR,DEN,UA
2013,2,26,LGA,MCO,DL
2013,2,2,EWR,IAH,UA
2013,2,18,JFK,JAX,B6
2013,2,12,LGA,PWM,DL
2013,2,1,JFK,CLT,B6
2013,2,5,JFK,MSY,B6
2013,2,25,LGA,ATL,DL
2013,2,19,EWR,MCO,UA
2013,2,17,JFK,LAX,B6
2013,2,18,EWR,DFW,AA
2013,2,16,LGA,BNA,WN
2013,2,7,LGA,DTW,DL
2013,2,15,EWR,BUF,EV
2013,2,28,EWR,IAD,EV
2013,2,28,EWR,MCO,UA
2013,2,11,EWR,FLL,UA
2013,2,28,JFK,RIC,9E
2013,2,15,EWR,CLT,US
2013,2,3,LGA,ORD,UA
2013,2,19,LGA,MSY,DL
2013,2,13,EWR,STL,WN
2013,2,22,EWR,TPA,B6
2013,2,25,EWR,MCO,B6
2013,2,8,LGA,DCA,US
2013,2,5,LGA,DCA,US
2013,2,21,EWR,SAN,UA
2013,2,24,EWR,ATL,DL
2013,2,19,EWR,MSP,EV
2013,2,9,JFK,ROC,9E
2013,2,3,JFK,LAX,B6
2013,2,16,JFK,SJU,B6
2013,2,11,LGA,IAH,UA
2013,2,11,JFK,SLC,DL
2013,2,18,JFK,RIC,9E
2013,2,27,LGA,DCA,US
2013,2,25,JFK,MCO,B6
2013,2,2,EWR,JAX,EV
2013,2,4,LGA,RDU,MQ
2013,2,12,LGA,ORD,AA
2013,2,14,LGA,ATL,DL
2013,2,23,LGA,MIA,AA
2013,2,14,LGA,XNA,MQ
2013,2,25,JFK,SJU,AA
2013,2,8,EWR,ATL,EV
2013,2,17,LGA,RDU,MQ
2013,2,25,JFK,SJU,B6
2013,2,7,EWR,CVG,EV
2013,2,26,EWR,ORD,MQ
2013,2,14,JFK,DCA,MQ
2013,2,12,EWR,CLT,US
2013,2,6,EWR,BOS,B6
2013,2,4,EWR,IAH,UA
2013,2,20,JFK,LAX,B6
2013,2,21,EWR,MCI,EV
2013,2,16,JFK,BUF,B6
2013,2,21,EWR,SAN,UA
