year,month,day,origin,dest,carrier
2013,1,8,JFK,SLC,DL
2013,1,31,JFK,TPA,B6
2013,1,17,EWR,CLE,UA
2013,1,7,JFK,SFO,AA
2013,1,21,LGA,DCA,US
2013,1,1,EWR,OMA,EV
2013,1,27,EWR,MIA,AA
2013,1,15,LGA,BOS,US
2013,1,25,LGA,PBI,DL
2013,1,6,EWR,SEA,UA
2013,1,30,LGA,PBI,DL
2013,1,19,JFK,CMH,MQ
2013,1,13,JFK,BTV,B6
2013,1,9,EWR,SEA,UA
2013,1,29,LGA,CLT,US
2013,1,19,EWR,FLL,UA
2013,1,23,EWR,RDU,EV
2013,1,18,JFK,FLL,DL
2013,1,7,JFK,LAX,DL
2013,1,30,EWR,ALB,EV
2013,1,30,JFK,CLE,MQ
2013,1,2,LGA,CLT,MQ
2013,1,9,EWR,CVG,EV
2013,1,12,EWR,IAH,UA
2013,1,22,LGA,MCO,DL
2013,1,12,EWR,ORF,EV
2013,1,20,LGA,ORD,AA
2013,1,2,JFK,BOS,B6
2013,1,2,JFK,SEA,AA
2013,1,6,JFK,TPA,DL
2013,1,8,JFK,JAX,B6
2013,1,22,LGA,DCA,US
2013,1,7,EWR,PHX,US
2013,1,5,JFK,PHX,US
2013,1,7,JFK,SFO,UA
2013,1,26,LGA,DTW,DL
2013,1,24,EWR,MCO,UA
2013,1,1,LGA,ORD,UA
2013,1,19,EWR,BQN,UA
2013,1,28,EWR,CVG,EV
2013,1,1,LGA,ORD,UA
2013,1,10,JFK,PHX,US
2013,1,25,JFK,BOS,AA
2013,1,7,LGA,MEM,DL
2013,1,7,EWR,BNA,EV
2013,1,12,EWR,MHT,EV
2013,1,9,JFK,BQN,B6
2013,1,4,JFK,PBI,B6
2013,1,10,EWR,ORD,UA
2013,1,3,JFK,MCO,DL
2013,1,9,EWR,SAT,UA
2013,1,17,JFK,ORD,B6
2013,1,7,JFK,SFO,AA
2013,1,11,EWR,BTV,EV
2013,1,15,JFK,ORD,AA
2013,1,16,EWR,ATL,DL
2013,1,20,LGA,ATL,MQ
2013,1,28,EWR,SFO,UA
2013,1,3,LGA,CLT,MQ
2013,1,18,LGA,MCO,DL
2013,1,22,LGA,CLT,MQ
2013,1,23,JFK,SJU,B6
2013,1,21,EWR,IAD,EV
2013,1,23,EWR,DTW,EV
2013,1,19,JFK,BOS,B6
2013,1,29,EWR,MCI,EV
2013,1,31,JFK,TPA,DL
2013,1,18,LGA,DCA,US
2013,1,22,JFK,LAX,VX
2013,1,23,LGA,ORD,AA
2013,1,15,JFK,MCO,B6
2013,1,5,EWR,MCI,EV
2013,1,12,LGA,ATL,FL
2013,1,5,EWR,JAX,EV
2013,1,16,EWR,CLE,UA
2013,1,28,EWR,BOS,UA
2013,1,5,LGA,MSP,MQ
2013,1,18,LGA,DTW,DL
2013,1,25,LGA,BNA,WN
2013,1,3,LGA,ATL,MQ
2013,1,25,LGA,FLL,B6
2013,1,12,EWR,BQN,UA
2013,1,27,EWR,BNA,EV
2013,1,21,EWR,TPA,UA
2013,1,18,EWR,BOS,UA
2013,1,30,JFK,RDU,MQ
2013,1,24,EWR,DTW,EV
2013,1,10,LGA,DEN,UA
2013,1,21,JFK,FLL,DL
2013,1,27,LGA,FLL,B6
2013,1,25,JFK,SFO,UA
2013,1,14,LGA,MIA,AA
2013,1,27,JFK,ATL,DL
2013,1,17,EWR,PVD,EV
2013,1,21,EWR,MSP,EV
2013,1,25,JFK,SFO,B6
2013,1,8,EWR,CVG,EV
2013,1,15,LGA,CLE,MQ
2013,1,15,EWR,CHS,EV
2013,1,30,LGA,CMH,MQ
2013,1,3,LGA,DTW,DL
2013,1,9,EWR,DTW,EV
2013,1,13,EWR,DEN,WN
2013,1,22,LGA,MIA,DL
2013,1,10,LGA,DFW,AA
2013,1,31,EWR,LAS,UA
2013,1,24,EWR,ORD,MQ
2013,1,12,JFK,BQN,B6
2013,1,15,LGA,MIA,AA
2013,1,16,EWR,DFW,AA
2013,1,8,LGA,ATL,MQ
2013,1,31,EWR,PIT,EV
2013,1,11,LGA,ATL,DL
2013,1,5,EWR,MCO,UA
2013,1,15,EWR,STT,UA
2013,1,14,LGA,MSP,MQ
2013,1,9,JFK,DCA,9E
2013,1,13,JFK,EGE,AA
2013,1,24,LGA,DFW,AA
2013,1,19,EWR,SYR,EV
2013,1,6,LGA,DCA,US
2013,1,31,EWR,RIC,EV
2013,1,14,JFK,ORF,9E
2013,1,30,LGA,BNA,MQ
2013,1,6,JFK,CLT,US
2013,1,12,LGA,CLE,EV
2013,1,25,JFK,PHX,US
2013,1,6,JFK,MCO,B6
2013,1,26,JFK,RDU,MQ
2013,1,16,LGA,ORD,AA
2013,1,24,LGA,MDW,WN
2013,1,6,JFK,ROC,9E
2013,1,11,JFK,PIT,MQ
2013,1,21,LGA,STL,WN
2013,1,5,LGA,PBI,DL
2013,1,12,EWR,LAX,UA
2013,1,12,JFK,CLT,US
2013,1,11,LGA,RDU,MQ
2013,1,26,JFK,BOS,DL
2013,1,16,EWR,PBI,UA
2013,1,23,LGA,ATL,DL
2013,1,1,LGA,MIA,AA
2013,1,6,JFK,TPA,B6
2013,1,14,JFK,CLT,US
2013,1,30,EWR,PHX,UA
2013,1,24,JFK,FLL,DL
2013,1,10,LGA,MCO,DL
2013,1,23,LGA,ORD,UA
2013,1,8,LGA,BOS,US
2013,1,25,EWR,LAX,UA
2013,1,29,EWR,BOS,UA
2013,1,29,EWR,ORD,MQ
2013,1,28,LGA,IAH,UA
2013,1,6,JFK,BUF,B6
2013,1,17,JFK,BUF,B6
2013,1,1,JFK,LAS,DL
2013,1,20,LGA,STL,WN
2013,1,4,EWR,DTW,9E
2013,1,30,JFK,TPA,AA
2013,1,25,LGA,DFW,AA
2013,1,20,EWR,MCO,B6
2013,1,31,EWR,CLT,US
2013,1,29,JFK,DTW,DL
2013,1,28,LGA,ATL,MQ
2013,1,3,EWR,DEN,UA
2013,1,29,JFK,ROC,B6
2013,1,3,JFK,BUF,B6
2013,1,24,EWR,DCA,EV
2013,1,10,JFK,HNL,HA
2013,1,20,EWR,CLE,UA
2013,1,30,EWR,CLT,US
2013,1,5,LGA,PBI,DL
2013,1,16,EWR,CVG,EV
2013,1,9,LGA,ATL,MQ
2013,1,25,LGA,ATL,DL
2013,1,29,LGA,CMH,MQ
2013,1,15,EWR,ATL,DL
2013,1,30,JFK,BOS,B6
2013,1,10,LGA,FLL,B6
2013,1,21,JFK,SFO,AA
2013,1,1,LGA,BUF,DL
2013,1,19,JFK,SRQ,B6
2013,1,2,JFK,RSW,B6
2013,1,12,JFK,LAX,AA
2013,1,31,LGA,CMH,MQ
2013,1,5,JFK,BUF,B6
2013,1,20,JFK,CLE,9E
2013,1,23,EWR,LAX,UA
2013,1,13,LGA,ATL,MQ
2013,1,13,LGA,MIA,AA
2013,1,11,LGA,MIA,AA
