year,month,day,origin,dest,carrier
2013,7,1,EWR,SDF,EV
2013,7,19,EWR,STL,EV
2013,7,22,JFK,BUF,9E
2013,7,19,JFK,DEN,B6
2013,7,5,JFK,RDU,MQ
2013,7,11,JFK,LAX,AA
2013,7,9,LGA,TPA,B6
2013,7,4,JFK,TPA,B6
2013,7,27,JFK,MIA,DL
2013,7,24,JFK,SFO,UA
2013,7,14,LGA,MSP,DL
2013,7,29,JFK,DTW,9E
2013,7,17,JFK,MIA,AA
2013,7,22,LGA,DAY,9E
2013,7,10,LGA,DTW,DL
2013,7,16,JFK,BTV,B6
2013,7,16,JFK,ROC,B6
2013,7,19,JFK,CLT,US
2013,7,10,LGA,MSY,DL
2013,7,10,LGA,DFW,AA
2013,7,20,JFK,SEA,DL
2013,7,24,LGA,MDW,WN
2013,7,22,EWR,DTW,EV
2013,7,2,EWR,ATL,DL
2013,7,8,EWR,STL,EV
2013,7,20,LGA,IAD,EV
2013,7,19,EWR,CLE,UA
2013,7,22,EWR,DTW,EV
2013,7,16,JFK,RDU,9E
2013,7,22,EWR,HOU,WN
2013,7,10,EWR,ATL,DL
2013,7,17,JFK,SAT,DL
2013,7,6,EWR,DEN,UA
2013,7,7,EWR,BOS,B6
2013,7,14,LGA,BOS,US
2013,7,25,EWR,SAT,UA
2013,7,14,LGA,BOS,US
2013,7,11,EWR,CHS,EV
2013,7,14,EWR,IAD,EV
2013,7,15,EWR,MDW,WN
2013,7,17,EWR,ORD,MQ
2013,7,27,JFK,BUF,B6
2013,7,19,LGA,TPA,B6
2013,7,8,JFK,SFO,B6
2013,7,29,EWR,SFO,UA
2013,7,28,JFK,BOS,DL
2013,7,10,LGA,ATL,FL
2013,7,16,JFK,MSP,9E
2013,7,21,EWR,BOS,UA
2013,7,7,EWR,LAX,VX
2013,7,13,EWR,STL,EV
2013,7,11,EWR,CLT,EV
2013,7,10,JFK,SJU,B6
2013,7,1,JFK,SLC,DL
2013,7,2,LGA,ATL,DL
2013,7,27,JFK,SJU,AA
2013,7,29,LGA,BOS,US
2013,7,28,LGA,PHL,US
2013,7,17,EWR,LAX,UA
2013,7,3,JFK,FLL,B6
