year,month,day,origin,dest,carrier
2013,6,21,EWR,ALB,EV
2013,6,7,EWR,IAD,EV
2013,6,29,EWR,DEN,UA
2013,6,6,JFK,MVY,B6
2013,6,26,LGA,ORD,UA
2013,6,9,EWR,TPA,UA
2013,6,7,LGA,BOS,US
2013,6,12,LGA,BNA,EV
2013,6,3,EWR,MSY,UA
2013,6,14,JFK,MCO,B6
2013,6,28,EWR,CHS,EV
2013,6,26,EWR,SEA,AS
2013,6,2,EWR,RIC,EV
2013,6,29,JFK,SAN,AA
2013,6,25,EWR,CHS,EV
2013,6,18,EWR,ORD,UA
2013,6,5,EWR,LAS,UA
2013,6,13,LGA,PIT,EV
2013,6,6,EWR,MSP,EV
2013,6,16,LGA,RSW,B6
2013,6,29,EWR,MCO,UA
2013,6,8,EWR,SEA,AS
2013,6,28,EWR,PHX,UA
2013,6,14,EWR,PVD,EV
2013,6,9,EWR,FLL,B6
2013,6,25,LGA,DEN,WN
2013,6,3,JFK,CLT,US
2013,6,30,EWR,DEN,UA
2013,6,18,JFK,DCA,MQ
2013,6,12,JFK,SFO,VX
2013,6,14,EWR,RDU,EV
2013,6,30,JFK,FLL,B6
2013,6,1,EWR,ATL,DL
2013,6,15,JFK,SEA,DL
2013,6,12,JFK,SLC,DL
2013,6,17,EWR,FLL,B6
2013,6,9,EWR,PHX,UA
2013,6,28,EWR,MSP,EV
2013,6,7,EWR,LAX,UA
2013,6,30,JFK,SJU,AA
2013,6,5,JFK,BWI,9E
2013,6,27,JFK,IND,9E
2013,6,8,JFK,LAX,VX
2013,6,7,JFK,SJU,B6
2013,6,5,EWR,CLT,US
2013,6,15,EWR,SEA,UA
2013,6,21,JFK,CLE,MQ
2013,6,20,EWR,SEA,UA
2013,6,2,EWR,CLT,EV
2013,6,30,EWR,MIA,AA
2013,6,4,LGA,MCI,EV
2013,6,28,EWR,ORD,UA
2013,6,17,LGA,PBI,B6
2013,6,11,LGA,PBI,DL
2013,6,11,JFK,BTV,B6
2013,6,8,EWR,MCO,UA
2013,6,27,LGA,MCO,DL
2013,6,16,JFK,SLC,DL
2013,6,23,LGA,DTW,DL
2013,6,24,JFK,IAD,EV
2013,6,29,JFK,LAX,B6
2013,6,16,LGA,MIA,AA
2013,6,27,EWR,MIA,AA
2013,6,5,JFK,SAN,B6
2013,6,12,LGA,ORD,AA
2013,6,8,EWR,MCO,UA
2013,6,6,LGA,ORD,AA
2013,6,14,LGA,DTW,DL
2013,6,28,EWR,CLE,UA
2013,6,5,JFK,ATL,DL
2013,6,21,LGA,MSP,DL
2013,6,22,EWR,TPA,UA
2013,6,18,EWR,RSW,UA
2013,6,25,JFK,IAD,B6
2013,6,18,EWR,DAY,EV
2013,6,5,LGA,DEN,DL
2013,6,26,LGA,BNA,MQ
2013,6,20,EWR,GSO,EV
2013,6,3,JFK,SFO,UA
2013,6,5,EWR,DTW,EV
2013,6,24,JFK,CLT,US
2013,6,16,LGA,FLL,DL
2013,6,8,EWR,IAD,EV
2013,6,25,LGA,DFW,AA
2013,6,27,EWR,MDW,WN
2013,6,17,LGA,ATL,DL
2013,6,20,EWR,MCO,B6
2013,6,18,EWR,CLE,UA
2013,6,21,EWR,DTW,EV
2013,6,2,LGA,ORD,AA
2013,6,4,JFK,IAD,9E
2013,6,4,JFK,BOS,AA
2013,6,11,EWR,DEN,UA
2013,6,26,EWR,GRR,EV
2013,6,28,EWR,LAX,VX
2013,6,10,EWR,LAX,UA
2013,6,17,JFK,SYR,B6
2013,6,13,JFK,LAX,VX
2013,6,1,JFK,BOS,DL
2013,6,5,LGA,ORD,AA
2013,6,23,JFK,PHL,9E
2013,6,11,JFK,PHL,9E
2013,6,20,LGA,GSO,EV
2013,6,16,LGA,HOU,WN
2013,6,10,LGA,MHT,EV
2013,6,12,LGA,CLT,US
2013,6,9,EWR,SLC,DL
2013,6,17,JFK,CMH,MQ
2013,6,15,EWR,SFO,UA
2013,6,28,LGA,TYS,9E
2013,6,13,JFK,BTV,B6
2013,6,8,JFK,DCA,MQ
2013,6,8,EWR,SEA,UA
2013,6,12,JFK,PHL,9E
2013,6,23,LGA,DFW,AA
2013,6,7,LGA,MIA,AA
2013,6,25,LGA,XNA,MQ
2013,6,15,JFK,PWM,B6
2013,6,12,EWR,SFO,VX
2013,6,25,EWR,MCO,UA
2013,6,5,EWR,SFO,UA
2013,6,30,EWR,CLT,US
2013,6,9,JFK,SFO,UA
2013,6,28,LGA,BOS,US
2013,6,18,LGA,CLT,EV
2013,6,16,JFK,SFO,UA
2013,6,26,EWR,MCO,UA
2013,6,16,EWR,DFW,AA
2013,6,11,LGA,CLT,US
2013,6,19,EWR,MCO,UA
2013,6,6,LGA,MSY,DL
2013,6,7,EWR,PBI,UA
2013,6,22,LGA,MSP,DL
2013,6,30,LGA,MSP,DL
2013,6,6,LGA,ORD,UA
2013,6,3,EWR,RSW,B6
2013,6,2,EWR,LAX,UA
2013,6,25,JFK,SFO,VX
2013,6,14,EWR,HNL,UA
2013,6,25,EWR,PIT,EV
2013,6,6,JFK,BUF,B6
2013,6,6,JFK,IND,MQ
2013,6,3,EWR,MCO,B6
2013,6,11,LGA,DEN,UA
2013,6,25,JFK,AUS,B6
2013,6,2,EWR,BOS,UA
2013,6,5,EWR,SAV,EV
2013,6,29,EWR,IND,EV
2013,6,30,EWR,BOS,B6
2013,6,3,JFK,BNA,MQ
2013,6,2,EWR,RIC,EV
2013,6,2,LGA,PWM,DL
2013,6,19,EWR,ATL,DL
2013,6,8,LGA,ATL,DL
2013,6,29,EWR,ORD,MQ
2013,6,29,EWR,MSP,DL
2013,6,9,EWR,ORD,UA
2013,6,28,JFK,FLL,B6
2013,6,10,JFK,CLT,US
2013,6,14,LGA,MDW,WN
2013,6,17,JFK,DTW,9E
2013,6,14,EWR,MCO,UA
2013,6,21,EWR,BQN,UA
2013,6,28,JFK,OAK,B6
2013,6,11,LGA,DFW,AA
2013,6,25,JFK,FLL,B6
2013,6,6,LGA,ORD,AA
2013,6,27,JFK,RDU,MQ
2013,6,29,EWR,PHX,WN
2013,6,29,LGA,MIA,AA
2013,6,4,EWR,PHX,UA
2013,6,21,EWR,MSN,EV
2013,6,29,EWR,ORD,UA
2013,6,27,JFK,LAX,VX
2013,6,22,JFK,CLT,B6
2013,6,8,EWR,SJU,UA
2013,6,1,JFK,MCO,DL
2013,6,29,EWR,DCA,EV
2013,6,19,LGA,MSP,DL
2013,6,7,EWR,ORD,MQ
2013,6,5,JFK,SYR,B6
2013,6,10,JFK,LAX,B6
2013,6,3,EWR,AUS,UA
2013,6,25,JFK,MCO,B6
2013,6,29,EWR,ATL,DL
2013,6,30,LGA,GSO,EV
2013,6,16,LGA,BHM,EV
2013,6,23,EWR,ATL,EV
2013,6,17,EWR,FLL,B6
2013,6,13,EWR,SAN,UA
2013,6,27,LGA,BGR,EV
2013,6,28,EWR,FLL,UA
2013,6,20,LGA,CMH,MQ
2013,6,10,JFK,PBI,B6
2013,6,1,LGA,DEN,UA
2013,6,25,JFK,SFO,VX
2013,6,30,LGA,RDU,MQ
2013,6,25,EWR,CLE,UA
2013,6,3,LGA,DCA,US
2013,6,21,LGA,CMH,MQ
