year,month,day,origin,dest,carrier
2013,3,25,EWR,CLT,US
2013,3,19,LGA,ATL,DL
2013,3,2,EWR,DCA,EV
2013,3,8,EWR,DTW,EV
2013,3,29,LGA,RDU,MQ
2013,3,24,EWR,DEN,WN
2013,3,5,EWR,IND,EV
2013,3,26,JFK,SYR,B6
2013,3,29,JFK,MCO,B6
2013,3,6,JFK,ROC,B6
2013,3,7,JFK,AUS,B6
2013,3,24,JFK,SJU,B6
2013,3,20,LGA,DCA,US
2013,3,12,LGA,DTW,MQ
2013,3,13,JFK,LGB,B6
2013,3,15,EWR,AUS,UA
2013,3,18,EWR,BNA,EV
2013,3,10,EWR,CLT,EV
2013,3,7,LGA,ATL,FL
2013,3,25,LGA,DEN,WN
2013,3,22,JFK,BTV,B6
2013,3,21,LGA,DCA,US
2013,3,12,JFK,SLC,DL
2013,3,9,JFK,PBI,B6
2013,3,13,LGA,FLL,DL
2013,3,26,EWR,PHX,UA
2013,3,16,JFK,DCA,9E
2013,3,21,JFK,LAX,AA
2013,3,5,EWR,ATL,DL
2013,3,6,JFK,PHL,9E
2013,3,2,JFK,SAN,B6
2013,3,6,JFK,DCA,MQ
2013,3,29,JFK,MSY,DL
2013,3,11,LGA,TPA,B6
2013,3,19,JFK,LAX,UA
2013,3,11,LGA,DCA,US
2013,3,30,EWR,IAH,UA
2013,3,23,JFK,LAX,DL
2013,3,13,LGA,MIA,AA
2013,3,25,EWR,PDX,UA
2013,3,6,JFK,PBI,B6
2013,3,10,JFK,BOS,AA
2013,3,8,EWR,DSM,EV
2013,3,15,LGA,DEN,DL
2013,3,6,EWR,ORD,MQ
2013,3,24,JFK,SAN,B6
2013,3,9,JFK,MCO,AA
2013,3,6,EWR,PBI,UA
2013,3,25,LGA,MIA,DL
2013,3,2,JFK,SFO,DL
2013,3,7,EWR,SFO,UA
2013,3,28,LGA,BHM,EV
2013,3,6,EWR,DCA,EV
2013,3,27,LGA,RSW,DL
2013,3,16,JFK,DTW,9E
2013,3,23,JFK,IND,MQ
2013,3,1,EWR,OKC,EV
2013,3,21,JFK,LAX,DL
2013,3,13,LGA,ORD,AA
2013,3,27,JFK,SJU,B6
2013,3,23,EWR,BOS,B6
2013,3,25,EWR,PBI,UA
2013,3,8,LGA,BTV,EV
2013,3,16,EWR,IAD,EV
2013,3,30,JFK,HOU,B6
2013,3,6,LGA,MSP,DL
2013,3,6,JFK,IND,9E
2013,3,1,JFK,SAN,AA
2013,3,17,EWR,PWM,EV
2013,3,26,JFK,RDU,MQ
2013,3,2,EWR,ATL,EV
2013,3,12,EWR,MSP,EV
2013,3,9,EWR,SFO,UA
2013,3,9,EWR,BNA,EV
2013,3,14,JFK,SFO,DL
2013,3,11,LGA,ATL,MQ
2013,3,12,EWR,DTW,EV
2013,3,24,JFK,DCA,9E
2013,3,29,EWR,DEN,UA
2013,3,28,EWR,DFW,AA
2013,3,1,JFK,SFO,B6
2013,3,18,LGA,DFW,AA
2013,3,12,LGA,CLT,MQ
2013,3,27,EWR,RIC,EV
2013,3,24,JFK,SEA,AA
2013,3,9,LGA,MCO,B6
2013,3,27,JFK,OAK,B6
2013,3,30,JFK,BOS,B6
2013,3,31,JFK,CLT,B6
2013,3,20,JFK,LAX,DL
2013,3,3,JFK,PIT,MQ
2013,3,18,JFK,PHX,B6
2013,3,2,EWR,FLL,UA
2013,3,20,JFK,SLC,DL
2013,3,11,JFK,AUS,B6
2013,3,4,EWR,ALB,EV
2013,3,9,JFK,RDU,9E
2013,3,18,EWR,TPA,UA
2013,3,2,LGA,ORD,AA
2013,3,6,JFK,JAX,9E
2013,3,17,LGA,GSO,EV
2013,3,4,EWR,DFW,AA
2013,3,26,JFK,RDU,9E
2013,3,9,LGA,DCA,US
2013,3,11,EWR,MCI,EV
2013,3,30,LGA,TPA,DL
2013,3,29,EWR,PWM,EV
2013,3,10,EWR,SFO,UA
2013,3,21,JFK,BOS,AA
2013,3,30,LGA,PBI,B6
2013,3,5,EWR,MCO,B6
2013,3,12,EWR,MSY,EV
2013,3,13,LGA,DTW,DL
2013,3,18,EWR,ROC,EV
2013,3,9,JFK,AUS,B6
2013,3,28,LGA,CLT,MQ
2013,3,7,LGA,RDU,MQ
2013,3,16,EWR,DCA,EV
2013,3,15,LGA,PBI,DL
2013,3,3,JFK,LAX,AA
2013,3,1,LGA,ORD,UA
2013,3,18,EWR,GRR,EV
2013,3,31,JFK,IAD,9E
2013,3,12,JFK,BUF,B6
2013,3,29,EWR,ATL,DL
2013,3,25,JFK,CLT,US
2013,3,1,JFK,LAX,UA
2013,3,5,LGA,DEN,F9
2013,3,15,EWR,DCA,EV
2013,3,18,EWR,RSW,UA
2013,3,10,JFK,EGE,AA
2013,3,22,LGA,BOS,US
2013,3,10,LGA,RDU,MQ
2013,3,5,EWR,MDW,WN
2013,3,16,JFK,JAX,B6
2013,3,18,LGA,ATL,FL
2013,3,2,EWR,TPA,UA
2013,3,19,EWR,CLT,US
2013,3,7,JFK,ROC,9E
2013,3,13,EWR,SFO,UA
2013,3,26,LGA,IAH,UA
2013,3,10,JFK,SAN,DL
2013,3,18,EWR,CLT,EV
2013,3,22,EWR,PHX,US
2013,3,21,LGA,MIA,AA
2013,3,31,EWR,MCO,UA
2013,3,16,EWR,HOU,WN
2013,3,26,LGA,FLL,B6
2013,3,26,JFK,FLL,B6
2013,3,12,LGA,SRQ,DL
2013,3,7,JFK,RSW,B6
2013,3,24,LGA,DEN,DL
2013,3,31,LGA,DEN,F9
2013,3,5,JFK,PWM,B6
2013,3,5,EWR,GRR,EV
2013,3,25,EWR,SFO,UA
2013,3,4,LGA,DFW,AA
2013,3,26,JFK,BUR,B6
2013,3,3,EWR,ATL,EV
2013,3,4,JFK,LAX,DL
2013,3,18,LGA,ATL,DL
2013,3,18,LGA,CHO,EV
2013,3,9,LGA,EYW,DL
2013,3,16,EWR,ORD,UA
2013,3,25,JFK,RDU,MQ
2013,3,21,JFK,SJU,B6
2013,3,16,EWR,RSW,UA
2013,3,4,EWR,ATL,DL
2013,3,1,EWR,DTW,9E
2013,3,7,EWR,CMH,EV
2013,3,25,EWR,RSW,UA
2013,3,13,JFK,AUS,DL
2013,3,22,LGA,CLT,US
2013,3,14,EWR,ORF,EV
2013,3,28,JFK,BWI,9E
2013,3,29,JFK,FLL,AA
2013,3,30,LGA,DTW,EV
2013,3,10,EWR,ORD,MQ
2013,3,13,JFK,BUF,B6
2013,3,24,EWR,MDW,WN
2013,3,28,EWR,ORD,MQ
2013,3,23,LGA,DTW,DL
2013,3,18,EWR,PHX,UA
2013,3,28,JFK,DFW,9E
2013,3,22,LGA,BNA,WN
2013,3,22,LGA,MIA,AA
2013,3,21,JFK,MCO,DL
2013,3,1,EWR,CLT,EV
2013,3,12,JFK,LAX,B6
2013,3,31,EWR,RSW,UA
2013,3,1,LGA,ORD,AA
2013,3,15,JFK,PBI,B6
2013,3,8,LGA,ATL,MQ
2013,3,8,JFK,LAS,B6
2013,3,17,JFK,PBI,B6
2013,3,17,JFK,DCA,MQ
2013,3,7,JFK,IAD,9E
2013,3,12,EWR,DFW,AA
2013,3,27,LGA,RDU,MQ
2013,3,20,JFK,MCO,B6
