year,month,day,origin,dest,carrier
2013,5,31,LGA,CLE,MQ
2013,5,2,LGA,CAK,FL
2013,5,30,EWR,MDW,WN
2013,5,14,LGA,ATL,MQ
2013,5,12,EWR,ALB,EV
2013,5,13,JFK,LAX,AA
2013,5,22,LGA,RDU,MQ
2013,5,29,EWR,IAH,UA
2013,5,30,EWR,SAN,UA
2013,5,26,JFK,PIT,MQ
2013,5,7,LGA,CLT,US
2013,5,5,LGA,DTW,MQ
2013,5,23,JFK,MIA,DL
2013,5,6,LGA,BOS,US
2013,5,14,JFK,TPA,B6
2013,5,3,EWR,IAD,EV
2013,5,1,EWR,BNA,EV
2013,5,30,JFK,MSY,B6
2013,5,20,LGA,MSP,DL
2013,5,14,EWR,ALB,EV
2013,5,11,EWR,RDU,EV
2013,5,13,LGA,ATL,DL
2013,5,22,EWR,ROC,EV
2013,5,9,LGA,RDU,MQ
2013,5,23,LGA,ORD,AA
2013,5,3,LGA,RDU,MQ
2013,5,7,EWR,CLT,US
2013,5,11,LGA,CLT,US
2013,5,30,JFK,SFO,AA
2013,5,28,JFK,BOS,AA
2013,5,21,LGA,CLT,US
2013,5,10,EWR,TPA,B6
2013,5,11,LGA,ORD,AA
2013,5,5,LGA,DEN,F9
2013,5,28,LGA,MIA,AA
2013,5,10,LGA,ATL,FL
2013,5,4,EWR,CLT,US
2013,5,19,LGA,PWM,DL
2013,5,3,JFK,CHS,B6
2013,5,10,LGA,PBI,B6
2013,5,18,JFK,PIT,MQ
2013,5,23,EWR,CLT,US
2013,5,14,JFK,PDX,B6
2013,5,17,JFK,BWI,9E
2013,5,15,LGA,DCA,US
2013,5,8,JFK,PHX,B6
2013,5,5,EWR,CLT,EV
2013,5,26,JFK,BOS,B6
2013,5,27,JFK,SEA,DL
2013,5,24,EWR,FLL,B6
2013,5,15,LGA,MIA,AA
2013,5,10,LGA,DEN,UA
2013,5,26,JFK,DCA,9E
2013,5,16,LGA,BNA,MQ
2013,5,9,LGA,MIA,DL
2013,5,29,EWR,STL,EV
2013,5,21,EWR,ATL,EV
2013,5,21,LGA,CLE,MQ
2013,5,30,JFK,PWM,B6
2013,5,27,EWR,CVG,9E
2013,5,30,LGA,ATL,MQ
2013,5,4,LGA,MIA,AA
2013,5,17,JFK,LAS,B6
2013,5,2,EWR,MSY,UA
2013,5,15,JFK,LAS,DL
2013,5,12,EWR,GSP,EV
2013,5,9,EWR,MCI,EV
2013,5,21,LGA,DTW,DL
2013,5,1,EWR,CVG,EV
2013,5,4,EWR,TPA,B6
2013,5,2,EWR,DFW,AA
2013,5,23,LGA,PBI,DL
2013,5,14,LGA,MIA,DL
2013,5,31,LGA,DTW,DL
2013,5,30,LGA,MCO,DL
2013,5,20,LGA,DFW,AA
2013,5,16,EWR,BOS,B6
2013,5,4,JFK,LAX,UA
2013,5,24,LGA,MDW,WN
2013,5,6,LGA,DEN,UA
2013,5,9,LGA,DEN,WN
2013,5,12,JFK,DCA,MQ
2013,5,18,LGA,MIA,AA
2013,5,6,JFK,LAX,VX
2013,5,19,LGA,ATL,DL
2013,5,1,EWR,SFO,UA
2013,5,23,LGA,DCA,US
2013,5,4,JFK,MCO,AA
2013,5,5,EWR,ORD,UA
2013,5,12,EWR,BNA,WN
2013,5,22,LGA,CLT,MQ
2013,5,9,LGA,DTW,DL
2013,5,5,LGA,PHL,US
2013,5,16,LGA,MDW,WN
2013,5,14,LGA,ORD,AA
2013,5,20,LGA,BNA,MQ
2013,5,28,EWR,LAX,UA
2013,5,30,LGA,FLL,DL
2013,5,10,EWR,BTV,EV
2013,5,28,EWR,MCI,EV
2013,5,5,EWR,SJU,UA
2013,5,11,LGA,MKE,EV
2013,5,1,EWR,BOS,UA
2013,5,17,JFK,BUF,B6
2013,5,25,JFK,SLC,DL
2013,5,8,LGA,DAY,9E
2013,5,4,JFK,MSP,9E
2013,5,31,EWR,ALB,EV
2013,5,9,EWR,SEA,UA
2013,5,24,JFK,BOS,AA
2013,5,29,EWR,ORD,UA
2013,5,23,JFK,DCA,9E
2013,5,31,JFK,STT,AA
2013,5,26,LGA,RDU,MQ
2013,5,17,EWR,DTW,EV
2013,5,3,JFK,LAS,B6
2013,5,2,LGA,DFW,AA
2013,5,30,LGA,RDU,MQ
2013,5,27,JFK,RDU,MQ
2013,5,30,LGA,RDU,MQ
2013,5,15,LGA,DCA,US
2013,5,8,EWR,ATL,DL
2013,5,15,EWR,IAH,UA
2013,5,7,JFK,SFO,VX
2013,5,22,LGA,ORD,AA
2013,5,5,EWR,TPA,UA
2013,5,7,LGA,CLT,US
2013,5,15,EWR,MCO,UA
2013,5,20,EWR,SEA,AS
2013,5,2,JFK,LAS,B6
2013,5,7,LGA,PWM,DL
2013,5,9,LGA,ORD,AA
2013,5,3,EWR,DEN,UA
2013,5,18,LGA,DEN,WN
2013,5,7,LGA,ORD,AA
2013,5,17,JFK,DCA,MQ
2013,5,30,JFK,BUR,B6
2013,5,1,EWR,CMH,EV
2013,5,2,LGA,DTW,DL
2013,5,15,JFK,ATL,DL
2013,5,5,JFK,LAS,B6
2013,5,17,JFK,SJU,B6
2013,5,31,LGA,BOS,US
2013,5,17,JFK,SJU,B6
2013,5,5,JFK,SFO,VX
2013,5,7,EWR,SFO,VX
2013,5,21,EWR,IAH,UA
2013,5,31,LGA,SRQ,B6
2013,5,7,EWR,MIA,UA
2013,5,25,JFK,BHM,EV
2013,5,10,JFK,MCO,B6
2013,5,18,JFK,ORD,9E
2013,5,3,LGA,BOS,US
2013,5,12,EWR,IAD,EV
2013,5,8,JFK,CLE,MQ
2013,5,30,JFK,BOS,9E
2013,5,4,JFK,PWM,B6
2013,5,19,JFK,LAX,AA
2013,5,2,LGA,MCI,EV
2013,5,30,EWR,ATL,DL
2013,5,18,LGA,ORD,AA
2013,5,10,JFK,SJC,B6
2013,5,6,EWR,DEN,WN
2013,5,8,EWR,CLT,US
2013,5,17,LGA,CLT,US
2013,5,16,JFK,MSY,B6
2013,5,29,EWR,SJU,UA
2013,5,17,EWR,JAX,EV
2013,5,28,EWR,CLT,US
2013,5,2,EWR,MDW,WN
2013,5,31,LGA,MIA,AA
2013,5,17,EWR,SAN,UA
2013,5,3,EWR,ORD,MQ
2013,5,31,JFK,CMH,MQ
2013,5,13,EWR,CMH,EV
2013,5,22,LGA,DTW,MQ
2013,5,6,LGA,MSP,DL
2013,5,16,JFK,FLL,B6
2013,5,18,JFK,MCO,DL
2013,5,14,JFK,DCA,MQ
2013,5,2,LGA,DEN,F9
2013,5,5,EWR,PWM,EV
2013,5,13,EWR,OKC,EV
2013,5,2,EWR,DEN,UA
2013,5,15,LGA,CLT,US
2013,5,5,EWR,ORD,MQ
2013,5,16,LGA,IAH,UA
2013,5,30,JFK,LAX,AA
2013,5,18,EWR,SFO,UA
2013,5,14,EWR,HOU,WN
2013,5,9,EWR,ORD,MQ
2013,5,21,LGA,ATL,DL
2013,5,19,EWR,STL,EV
2013,5,22,EWR,ORD,MQ
2013,5,27,EWR,SEA,UA
2013,5,3,EWR,OMA,EV
