year,month,day,origin,dest,carrier
2013,11,18,JFK,AUS,B6
2013,11,18,EWR,OMA,EV
2013,11,17,LGA,DFW,AA
2013,11,17,EWR,SAT,UA
2013,11,22,LGA,ORD,UA
2013,11,6,LGA,MCO,DL
2013,11,16,JFK,MIA,AA
2013,11,14,LGA,MIA,DL
2013,11,29,LGA,FLL,B6
2013,11,28,JFK,LAX,UA
2013,11,5,EWR,IAH,UA
2013,11,1,JFK,LAX,UA
2013,11,20,EWR,MIA,UA
2013,11,1,EWR,FLL,UA
2013,11,18,EWR,DEN,UA
2013,11,13,LGA,TYS,9E
2013,11,12,LGA,CLE,MQ
2013,11,8,JFK,MIA,AA
2013,11,16,EWR,DEN,UA
2013,11,10,LGA,DTW,MQ
2013,11,11,EWR,IAH,UA
2013,11,6,EWR,ORD,UA
2013,11,2,EWR,LAS,UA
2013,11,3,JFK,LAS,B6
2013,11,3,LGA,IAD,EV
2013,11,21,LGA,BGR,EV
2013,11,8,JFK,PWM,B6
2013,11,22,LGA,CLE,EV
2013,11,11,EWR,RIC,EV
2013,11,21,LGA,TPA,DL
2013,11,7,EWR,PWM,EV
2013,11,27,JFK,CLT,US
2013,11,15,LGA,ROC,EV
2013,11,14,JFK,MCO,DL
2013,11,15,EWR,STL,EV
2013,11,10,EWR,AVL,EV
2013,11,21,EWR,LAX,VX
2013,11,6,LGA,MKE,WN
2013,11,20,JFK,BUF,B6
2013,11,16,EWR,FLL,UA
2013,11,19,EWR,OMA,EV
2013,11,12,EWR,MSY,EV
2013,11,27,JFK,ATL,DL
2013,11,1,JFK,ROC,B6
2013,11,27,LGA,IAD,EV
2013,11,14,EWR,SAV,EV
2013,11,20,JFK,SFO,VX
2013,11,18,LGA,RSW,9E
2013,11,8,JFK,CMH,MQ
2013,11,6,EWR,CVG,EV
2013,11,8,JFK,CLT,B6
2013,11,30,EWR,JAX,EV
2013,11,4,LGA,MIA,AA
2013,11,16,JFK,SYR,9E
2013,11,30,EWR,PHX,US
2013,11,15,LGA,CLE,MQ
2013,11,5,LGA,FLL,DL
2013,11,16,JFK,BOS,DL
2013,11,8,LGA,DCA,US
2013,11,2,EWR,DEN,UA
2013,11,19,EWR,CLT,US
2013,11,17,LGA,RDU,MQ
2013,11,28,JFK,JAX,B6
2013,11,13,LGA,MKE,WN
2013,11,11,LGA,MDW,WN
2013,11,22,EWR,OKC,EV
2013,11,9,EWR,DAY,EV
2013,11,8,LGA,MIA,DL
2013,11,19,EWR,ORD,UA
2013,11,1,LGA,SYR,9E
2013,11,9,LGA,CLT,US
2013,11,15,LGA,MCO,DL
2013,11,14,JFK,CLT,US
2013,11,2,EWR,MCO,UA
2013,11,5,LGA,PHL,US
2013,11,10,EWR,DTW,9E
2013,11,13,JFK,RDU,9E
