year,month,day,origin,dest,carrier
2013,10,24,EWR,STL,WN
2013,10,10,EWR,SFO,UA
2013,10,6,JFK,SFO,VX
2013,10,10,EWR,CLT,US
2013,10,3,EWR,MSP,DL
2013,10,25,LGA,IAD,EV
2013,10,22,EWR,DAY,EV
2013,10,26,LGA,IAD,YV
2013,10,14,EWR,SFO,VX
2013,10,5,JFK,ORD,9E
2013,10,8,JFK,SAN,DL
2013,10,10,JFK,LAS,DL
2013,10,16,EWR,ORD,UA
2013,10,22,LGA,ATL,DL
2013,10,14,LGA,MIA,AA
2013,10,8,JFK,LAX,VX
2013,10,25,EWR,MSP,EV
2013,10,2,EWR,FLL,UA
2013,10,21,EWR,MSP,9E
2013,10,27,EWR,SLC,DL
2013,10,15,JFK,PHX,US
2013,10,7,JFK,PDX,DL
2013,10,17,LGA,MSP,DL
2013,10,23,LGA,DTW,DL
2013,10,7,EWR,SFO,UA
2013,10,15,EWR,BOS,UA
2013,10,3,EWR,RIC,EV
2013,10,11,EWR,RDU,EV
2013,10,5,EWR,MCO,UA
2013,10,15,EWR,CLE,UA
2013,10,31,EWR,CHS,EV
2013,10,29,LGA,CHS,EV
2013,10,28,LGA,RDU,MQ
2013,10,1,LGA,TPA,B6
2013,10,28,LGA,IAH,UA
2013,10,18,EWR,MCO,B6
2013,10,15,EWR,CLT,EV
2013,10,11,EWR,MDW,WN
2013,10,1,EWR,SFO,VX
2013,10,26,EWR,SFO,UA
2013,10,26,JFK,LAX,AA
2013,10,7,JFK,SMF,B6
2013,10,17,EWR,PHX,UA
2013,10,16,LGA,TPA,DL
2013,10,16,JFK,BUF,B6
2013,10,11,JFK,SJU,B6
2013,10,3,JFK,LAS,B6
2013,10,3,JFK,LAX,B6
2013,10,8,JFK,LAS,B6
2013,10,1,LGA,DSM,9E
2013,10,24,JFK,PHL,9E
2013,10,29,EWR,ATL,DL
2013,10,1,JFK,SAN,DL
2013,10,21,LGA,DCA,US
2013,10,23,EWR,PDX,UA
2013,10,24,LGA,RSW,B6
2013,10,24,JFK,SMF,B6
2013,10,7,LGA,BNA,MQ
2013,10,23,LGA,DFW,AA
2013,10,19,JFK,TPA,DL
2013,10,6,JFK,BUF,B6
2013,10,4,JFK,SJU,B6
2013,10,18,JFK,PIT,9E
2013,10,8,EWR,MIA,UA
2013,10,27,JFK,DCA,MQ
2013,10,9,EWR,RDU,EV
2013,10,2,LGA,RSW,B6
2013,10,27,JFK,RSW,B6
2013,10,29,EWR,RSW,B6
2013,10,1,EWR,DSM,EV
2013,10,27,EWR,SNA,UA
2013,10,14,LGA,IAH,UA
2013,10,19,LGA,ATL,DL
2013,10,3,JFK,SLC,B6
2013,10,15,JFK,IND,9E
2013,10,16,JFK,FLL,B6
2013,10,17,JFK,BUF,B6
2013,10,21,JFK,JAX,B6
2013,10,18,JFK,SJU,AA
2013,10,21,LGA,CLT,MQ
2013,10,2,EWR,SFO,UA
2013,10,29,LGA,ORD,AA
2013,10,25,JFK,PHX,DL
2013,10,7,JFK,CLT,US
2013,10,11,LGA,RSW,B6
2013,10,24,LGA,HOU,WN
2013,10,25,LGA,STL,WN
2013,10,11,JFK,MVY,B6
2013,10,24,JFK,LAX,VX
