year,month,day,origin,dest,carrier
2013,9,24,JFK,DCA,MQ
2013,9,26,EWR,DCA,EV
2013,9,26,LGA,OMA,EV
2013,9,15,JFK,LAX,B6
2013,9,3,EWR,MKE,EV
2013,9,23,JFK,MIA,AA
2013,9,17,LGA,CLT,EV
2013,9,26,EWR,STL,EV
2013,9,16,EWR,IAD,EV
2013,9,19,LGA,ATL,DL
2013,9,6,EWR,CLT,US
2013,9,26,EWR,ORD,MQ
2013,9,5,LGA,HOU,WN
2013,9,20,JFK,CHS,B6
2013,9,18,JFK,CVG,9E
2013,9,3,JFK,PBI,B6
2013,9,12,JFK,LAX,DL
2013,9,11,LGA,MCO,DL
2013,9,7,EWR,STL,EV
2013,9,11,EWR,PHX,UA
2013,9,27,EWR,LAX,UA
2013,9,23,EWR,LAX,VX
2013,9,17,LGA,MSP,DL
2013,9,9,EWR,MSY,EV
2013,9,1,LGA,DTW,DL
2013,9,12,LGA,MSY,DL
2013,9,15,EWR,ATL,DL
2013,9,10,LGA,DTW,DL
2013,9,19,LGA,ORF,EV
2013,9,2,JFK,SFO,DL
2013,9,3,LGA,ORD,AA
2013,9,6,EWR,SLC,DL
2013,9,7,EWR,DTW,EV
2013,9,29,LGA,RDU,MQ
2013,9,20,LGA,CLT,US
2013,9,13,LGA,BOS,US
2013,9,1,EWR,BOS,EV
2013,9,12,EWR,LAX,UA
2013,9,19,JFK,SJU,DL
2013,9,10,LGA,FLL,B6
2013,9,15,EWR,STL,EV
2013,9,11,LGA,ORD,UA
2013,9,20,JFK,HNL,HA
2013,9,27,JFK,PHX,DL
2013,9,3,LGA,ORD,UA
2013,9,17,LGA,TPA,DL
2013,9,29,LGA,ROC,EV
2013,9,17,LGA,BNA,WN
2013,9,11,JFK,SJU,B6
2013,9,12,LGA,MSY,DL
2013,9,12,JFK,BOS,AA
2013,9,27,LGA,ORD,AA
2013,9,3,LGA,MIA,AA
2013,9,29,EWR,BOS,B6
2013,9,19,JFK,LAX,AA
2013,9,30,LGA,ORD,UA
2013,9,24,JFK,LAS,B6
2013,9,7,LGA,MIA,AA
2013,9,7,EWR,ORD,UA
2013,9,16,LGA,BHM,EV
2013,9,12,EWR,STL,EV
2013,9,28,JFK,LAX,DL
